amplitude offset frequency phase
1.866872592291290545e+00 2.312415063345798494e-01 3.216726796486015338e+00 8.346148695603299306e-01
1.790363225271340619e+00 2.332885633410741733e-01 3.234284219804756777e+00 7.703119598110642618e-01
1.992437022976519145e+00 9.926534360888750186e-02 3.253271623324780482e+00 7.754041148717940590e-01
1.745282326847350962e+00 2.665120389258159861e-01 3.195272819292545030e+00 8.468107854549826730e-01
1.830771726239613040e+00 1.451844392576671083e-01 3.197001003844116784e+00 9.282543252247400511e-01
1.840839715631453100e+00 1.426485398619226075e-01 3.193715835953988336e+00 8.862740338496188919e-01
1.752686774803267067e+00 1.767605987869744766e-01 3.148796191939632561e+00 1.006414441136364024e+00
1.869671375018780335e+00 1.359151763310091354e-01 3.193325577669961390e+00 8.816674238961391685e-01
1.785847740821127960e+00 1.331199014125235003e-01 3.189153708425821243e+00 1.052680794897121075e+00
1.731347986200336031e+00 2.272374351224901723e-01 3.189576673942635221e+00 9.438358464996249308e-01
1.840538961351857683e+00 -2.804581038785158853e-02 3.232563403581181660e+00 8.524591726185285490e-01
1.790293594278400846e+00 1.018762928204615115e-01 3.234382946383871360e+00 8.050873910889240204e-01
1.707718757613299498e+00 1.564768308268003061e-01 3.212355089593697866e+00 7.978537781826273712e-01
1.997112440600631311e+00 2.458919567853756760e-01 3.171440062576260654e+00 1.023158425880971611e+00
1.793367877948527367e+00 1.484694357654920971e-01 3.206260159186464342e+00 9.057599001000908867e-01
1.833632123741635311e+00 1.234590797793071459e-01 3.211640408799198987e+00 9.033977883535055931e-01
1.775230494421768501e+00 1.459518637741581415e-01 3.188762629844219987e+00 8.835599596670867806e-01
1.903352553598827601e+00 7.805356079563319227e-02 3.193156477199062149e+00 9.441854443901146476e-01
1.733611605833012215e+00 1.950996928677835029e-01 3.206129541591368870e+00 8.874646657671634298e-01
1.824219785010946504e+00 9.405188247785423172e-02 3.184166983321560895e+00 9.543187718510329764e-01
1.707408891657945738e+00 1.158967027589636878e-01 3.222261009466713677e+00 8.581345222558339758e-01
1.900314713757586205e+00 9.070929429543772571e-02 3.239016504486089243e+00 7.787905773435250811e-01
1.771711745704959817e+00 2.386583369821453360e-01 3.205442057773319142e+00 8.644428571248137239e-01
1.723840619572577282e+00 1.525556930664273558e-01 3.226946562750062419e+00 8.137998920041469297e-01
1.761478401396238125e+00 1.292804668796239120e-01 3.237039211863961707e+00 7.791961002591212271e-01
1.891238858794904054e+00 1.791872251132633487e-01 3.200724517900988886e+00 9.213577407769997230e-01
1.679127067690906916e+00 2.516278334931643101e-02 3.148025315760811793e+00 1.088353702613373830e+00
1.731565708106656887e+00 2.165817626265553741e-02 3.190366852919531926e+00 8.553098603354383211e-01
