location amplitude width
5.000403209115710297e+02 2.062357535547346998e+01 4.100500830543536424e+00
4.998574032598252188e+02 2.036585071223397492e+01 4.147537806827316764e+00
4.998465801437168921e+02 1.943453492172617558e+01 3.892909519899111270e+00
4.996732819362763394e+02 1.950126737302987934e+01 4.449045427594033875e+00
4.998443096939132033e+02 2.040840850072985546e+01 3.949755035965962335e+00
5.000606937663943654e+02 1.900536254118105006e+01 4.197037807148777055e+00
4.995997031856576882e+02 1.874937551673043856e+01 4.540654130748372985e+00
4.997534155769932909e+02 2.033564842563959019e+01 4.171894596575024927e+00
5.003518720564419482e+02 1.742802215146408074e+01 4.069221863702164654e+00
5.001266510708649093e+02 2.083666258553285289e+01 4.094143866983854352e+00
5.000782746555661333e+02 1.786211687582830976e+01 4.514178443635922022e+00
4.997850777855913975e+02 2.028239916617319238e+01 3.911755418977886034e+00
5.004036410257811553e+02 1.894601184280524819e+01 4.295368121112581150e+00
5.000770161901680240e+02 2.034066108745963675e+01 3.912921459014623959e+00
5.000622476549195881e+02 1.920278850377906821e+01 4.050136330257070760e+00
4.997657885867113805e+02 1.927500349574664185e+01 4.074401505605131923e+00
5.001066039654318729e+02 1.916710554522660459e+01 3.760674014460213765e+00
5.002123122501421904e+02 1.895437591954488354e+01 4.362553531317499456e+00
4.998574032598252188e+02 2.036585071223397492e+01 4.147537806827316764e+00
5.003504228465761798e+02 1.839215346915083060e+01 4.357703915174158560e+00
4.998959766983595046e+02 1.943556893486028159e+01 4.198812487555556139e+00
4.997774939600822108e+02 2.168329263822475639e+01 3.648723212813827832e+00
5.001015791228296621e+02 1.883566190600489421e+01 3.978602029041334642e+00
4.998143660293423522e+02 2.056200882177184752e+01 3.740132514094811622e+00
4.999285158566924565e+02 1.976197974376819033e+01 4.181374535785822744e+00
5.002251305486281012e+02 2.081675669131835349e+01 3.773887310564894015e+00
5.002829724395494964e+02 1.814861794444508902e+01 4.404002715048539685e+00
4.997148109396403584e+02 1.978192510835834739e+01 4.281403547203962212e+00
4.998458315022687657e+02 2.011768045191852750e+01 3.901760057866700215e+00
4.998026129934872301e+02 1.927628647523125593e+01 4.135502192735278193e+00
5.001194102139274946e+02 1.870688585697728001e+01 4.319584223413075463e+00
4.998885080158967185e+02 1.975801187652853486e+01 3.921108186739557411e+00
4.997892883039300500e+02 2.004046470631406862e+01 3.915225544620673404e+00
5.001452931193948075e+02 1.952625839493880733e+01 4.270472842195654373e+00
5.001388811813845905e+02 1.943776438727287115e+01 4.639575648665569041e+00
4.998443096939132033e+02 2.040840850072985546e+01 3.949755035965962335e+00
4.999866434989065169e+02 1.953953604482573070e+01 4.154586342532013532e+00
5.001388811813845905e+02 1.943776438727287115e+01 4.639575648665569041e+00
5.000600961360548240e+02 2.015646035492156685e+01 4.032364785178296884e+00
4.999998797557377657e+02 1.921576353214456745e+01 4.414075524717457455e+00
5.004656288777969166e+02 1.980514190743441105e+01 4.054383271789578913e+00
4.997666520640633507e+02 1.897229181739712800e+01 4.241858228077643567e+00
4.996340508835331775e+02 1.864233317286625891e+01 4.240632433226499742e+00
4.997683060286082082e+02 1.822974309798708248e+01 4.527480694399439898e+00
5.000418164581802785e+02 1.952225924602086948e+01 4.396810796713993774e+00
4.996616443257644846e+02 1.927553925864716788e+01 4.318881357938219701e+00
4.997315657754834888e+02 1.868937941993560869e+01 4.317088295851523760e+00
5.001776979827276932e+02 2.202220139961310252e+01 3.493306431912201582e+00
4.996933470485842008e+02 1.815903779217881464e+01 4.589569540817053372e+00
5.000342280687054881e+02 1.978710593100986159e+01 4.099033576179961003e+00
5.000769736712917961e+02 2.027907500132092977e+01 4.272860843069617331e+00
5.000148208440238022e+02 1.992834353590571439e+01 4.010096788578581872e+00
5.000472721799176838e+02 1.958451689217244862e+01 4.138352705890958383e+00
4.996292525668739586e+02 1.852185291843597170e+01 4.082226789947647205e+00
4.998999036808910432e+02 1.913695507215697234e+01 3.856529051190448865e+00
4.999656185689974564e+02 1.901172943755498324e+01 4.196417296886316706e+00
5.003984413049927298e+02 1.933367314666183034e+01 4.086905999727856731e+00
5.001488570898302441e+02 1.955179345915830424e+01 4.183523689611964080e+00
5.002270132659119213e+02 2.037172008283916469e+01 4.182760546256340639e+00
5.000722254108370635e+02 1.982433411263139433e+01 4.234183630703671319e+00
5.001058772049499908e+02 1.988005397555150111e+01 3.903832265769465959e+00
5.001115314709016957e+02 1.976371925200765389e+01 4.291911629595637656e+00
4.998935937141628187e+02 1.783842931251114550e+01 4.508003163639101807e+00
5.000786495539575753e+02 1.966021048800145010e+01 4.153894375307038977e+00
4.999554597159885816e+02 2.116056188124645843e+01 3.757560542124988245e+00
4.999998797557377657e+02 1.921576353214456745e+01 4.414075524717457455e+00
4.999247602020911359e+02 1.859732380209290170e+01 4.421665832070803326e+00
4.999834508467950513e+02 1.945496635255198825e+01 4.122805373325082456e+00
4.994930812235373878e+02 1.920028665575374305e+01 4.102556791344415643e+00
5.001015791228296621e+02 1.883566190600489421e+01 3.978602029041334642e+00
5.002067789619182463e+02 1.892620524183286790e+01 4.185139813265749353e+00
4.998416745265944314e+02 1.914650545595319997e+01 4.224878715849087918e+00
5.000214484129143671e+02 1.948535538999801275e+01 4.128190599798863047e+00
4.998284421507951265e+02 1.919117425299966939e+01 4.384534278706897048e+00
4.998417927221373134e+02 1.828799566599471405e+01 4.594125980393112485e+00
5.002195599864785436e+02 2.046970054266018479e+01 4.081477942049183127e+00
4.999813062738586495e+02 1.889412337782613349e+01 4.329572935977585857e+00
5.001389158121028800e+02 2.004796044946726141e+01 4.068410349922438662e+00
5.000199888689705858e+02 1.986911975872962444e+01 4.164804229537169888e+00
5.000889952270592289e+02 2.011954600367862511e+01 3.759545707500176803e+00
5.000025199685420034e+02 1.951401587795699655e+01 4.338784968861536306e+00
5.000561877395830948e+02 2.008913924526989092e+01 4.340987195741771387e+00
4.998735665076604846e+02 1.906050066025809286e+01 4.165023745965064528e+00
4.999821489439319180e+02 1.909344461847404517e+01 4.035394536174226943e+00
5.002073154846281682e+02 2.005975334858710113e+01 4.001368936980630231e+00
5.001526069686015035e+02 1.847734001446344010e+01 4.278502074105634989e+00
4.996616443257644846e+02 1.927553925864716788e+01 4.318881357938219701e+00
5.000403209115710297e+02 2.062357535547346998e+01 4.100500830543536424e+00
5.000449106716858978e+02 1.968208690942611483e+01 4.114641826097197530e+00
4.997534155769932909e+02 2.033564842563959019e+01 4.171894596575024927e+00
5.000097643808915677e+02 1.873680143299708334e+01 4.389680909135138975e+00
5.001493255948106480e+02 1.938886701606115537e+01 4.227494721041961334e+00
5.000889334232592773e+02 1.877115235094617063e+01 4.183506473419835281e+00
4.998458315022687657e+02 2.011768045191852750e+01 3.901760057866700215e+00
4.997788932640409030e+02 2.044938868520518582e+01 3.786041102199583452e+00
4.995046001163052551e+02 2.089227920644058045e+01 3.878810191286438780e+00
5.001318173982209032e+02 2.012858121402081935e+01 4.161009798100521628e+00
4.999235625739753459e+02 2.153062295154510863e+01 3.991392709944516337e+00
5.004236762100341593e+02 1.958711019979627466e+01 3.965396293445168308e+00
5.000830554748989130e+02 1.921674230583118259e+01 4.188679902008116684e+00
5.001826325088550789e+02 1.895576887368914498e+01 3.901485185238495745e+00
4.996775226890363228e+02 1.807519464840423851e+01 4.379294431146802502e+00
5.000859612418028064e+02 1.919757325618792265e+01 4.599284670441297962e+00
4.999307150765619099e+02 2.048997179738324803e+01 3.854565465438617888e+00
4.997850777855913975e+02 2.028239916617319238e+01 3.911755418977886034e+00
5.003202774124050620e+02 2.017491726509469530e+01 4.332247676073847309e+00
4.998119874362687938e+02 1.994629810242639678e+01 4.153681138422434138e+00
4.999302801874494548e+02 2.030826138234008837e+01 3.817507195066021985e+00
5.001831041658268191e+02 1.942175748768772081e+01 4.466380755190946239e+00
4.998500295806371696e+02 1.939567929710269922e+01 4.323892514294598755e+00
5.002070553674682856e+02 1.905793132625609587e+01 4.165006661132068189e+00
4.994577312771157267e+02 2.073083071209637751e+01 3.921678857816742969e+00
4.998022351777097469e+02 1.978666428361095697e+01 4.186086025479352379e+00
5.001135738851472752e+02 1.902329688594555890e+01 4.325968030977273671e+00
