weight logl location amplitude width
1.086883521284097696e-181 -4.801955160794355493e+02 6.285254102346099492e-01 7.632177303270437640e-01 3.195052542282516006e-01
1.462653773408175384e-181 -4.798960780868932829e+02 1.982150216154288103e-01 6.986629288463865883e-01 4.915311646429348924e-01
1.470792163785926233e-181 -4.798880293831281847e+02 8.085258565105923889e-02 3.262037300270445028e-01 8.472627376681870492e-01
1.704206134447152988e-181 -4.797382311336901921e+02 3.465728869823976321e-01 5.493148693186833409e-01 9.211376734770260200e-01
2.415946809487411381e-181 -4.793867392618110443e+02 7.546162321618494762e-01 6.450570149323362479e-01 3.703964752073598543e-01
2.463484383879556252e-181 -4.793647537617163721e+02 5.821513109250311402e-01 4.220379365555406714e-01 7.955938995677972470e-01
2.632216682061001642e-181 -4.792960041896151324e+02 9.980463600541134017e-01 5.304245054473981646e-01 7.475920231664333615e-01
2.864808148598093195e-181 -4.792088291416161496e+02 3.232877622334283663e-01 4.565307965877597463e-01 8.240008201216423300e-01
2.930040564665796422e-181 -4.791838142581715942e+02 2.710508934587704255e-01 6.881539425580956992e-01 6.443951385670497745e-01
3.063631476178501307e-181 -4.791367295564545543e+02 4.656265229123827121e-01 9.073164826267515748e-01 4.111922292628843456e-01
3.567279222428679777e-181 -4.789820273430410680e+02 4.491144612466390074e-01 5.495087602911492564e-01 5.526951756231357482e-01
6.606309120483110190e-181 -4.783633054059298502e+02 3.807616374551358041e-01 5.052938949733537521e-01 6.934320594525702486e-01
6.807311353360432557e-181 -4.783308332921073998e+02 4.390249111387584113e-01 4.328838370093659460e-01 7.088534351875460660e-01
8.102376872253305639e-181 -4.781541730660486564e+02 1.557112199201372560e-01 8.150639184929909797e-01 4.579789017090656333e-01
9.866007678550591179e-181 -4.779547352446052741e+02 9.813242181881990378e-01 4.342739074774871755e-01 8.643627865724672343e-01
1.111639537856854286e-180 -4.778329094460318061e+02 9.326540120039864545e-01 4.781705168026469943e-01 5.987779703637008399e-01
1.527338366985315650e-180 -4.775127188416360013e+02 1.237151235534248439e-01 3.262576920447419759e-01 7.462877649059898033e-01
1.524015546201524310e-180 -4.775123967745744835e+02 5.694198716142795380e-01 5.062114072166766787e-01 6.430377983066457581e-01
1.994699716377767336e-180 -4.772407519118000891e+02 6.450480675634751027e-02 4.437160847206951253e-01 6.512026792330734004e-01
3.012900225680594012e-180 -4.768258422877165117e+02 1.175318489077304962e-01 2.848878625668938014e-01 7.542643042659004093e-01
3.119431620210156182e-180 -4.767885946204902439e+02 6.454685918326841243e-01 4.968994546484631902e-01 6.073136308473245926e-01
3.798726849429325081e-180 -4.765890794617363895e+02 7.328540076427778605e-01 3.050008659268941269e-01 9.175298617781854071e-01
3.949279755387683860e-180 -4.765477122108277399e+02 4.642404621379101481e-01 6.569611235653353143e-01 3.893186012632733339e-01
