weight logl location amplitude width
0.000000000000000000e+00 -1.169164146475633515e+03 5.844294130733703696e+02 1.327075610183851317e+01 1.508567953602926970e+01
0.000000000000000000e+00 -1.029800057849179893e+03 6.021869068346004497e+02 1.301253580413343336e+01 1.224248789353143962e+01
0.000000000000000000e+00 -1.017459551966366234e+03 5.952661617283383748e+02 5.807239307432421782e+01 2.808672729657030187e-01
0.000000000000000000e+00 -1.012753823486838996e+03 6.744174457861547580e+02 1.563394521991481945e+01 8.145201410939044706e+00
0.000000000000000000e+00 -1.002981589011456322e+03 7.681310043603650684e+02 2.378380538490108975e+01 3.411543673736324944e+00
0.000000000000000000e+00 -9.358922463776839322e+02 4.074243106082740269e+02 1.487932985466982316e+01 8.773098684747775877e+00
0.000000000000000000e+00 -9.299145528340624196e+02 7.195387527677498838e+02 4.107027063983813520e+01 2.854166051456306641e-01
0.000000000000000000e+00 -9.239105208046119060e+02 4.571450425738397598e+02 2.968508106609649388e+01 9.278309222973913917e-01
0.000000000000000000e+00 -9.179486034638773617e+02 7.294567789174119525e+02 2.854414110978450481e+01 7.262728480708475765e-01
0.000000000000000000e+00 -9.095370062612225865e+02 7.309948033465512935e+02 1.955335955540677162e+01 3.849817567342348923e+00
0.000000000000000000e+00 -9.060976561977405481e+02 4.896566259898929161e+02 4.275018464395937201e+01 1.245812131897581665e+00
0.000000000000000000e+00 -8.679592874045667941e+02 6.339948362616364648e+02 3.624528439256892653e+01 1.425675490494412223e+00
0.000000000000000000e+00 -8.454062813866323722e+02 7.767876392298566088e+02 1.310741899368608188e+01 8.244886521120267986e+00
0.000000000000000000e+00 -8.398201821382670005e+02 7.120152729220192214e+02 1.162452513288866207e+01 1.068156747535315709e+01
0.000000000000000000e+00 -8.391632924982288841e+02 6.726830074824197254e+02 1.624078848164984024e+01 5.083913473330295751e+00
4.876427924453103391e-321 -8.009640408282673434e+02 5.342382691855079884e+02 2.534068080171498494e+01 7.621567306117500440e-01
1.437238007206624521e-297 -7.469215977705257501e+02 7.292930839229250068e+02 1.112087994419657910e+01 7.702854233703149589e+00
1.584299224218038059e-296 -7.445190937190241129e+02 4.413879612185947394e+02 2.733017718163767640e+01 1.345818810224289619e+00
2.101196016535988366e-293 -7.373264739054804977e+02 4.628435576158208846e+02 3.090420429093945387e+01 1.342045621899001784e+00
3.129020982105992975e-293 -7.369257604494171119e+02 4.512831962575102125e+02 8.455894255148985295e+00 1.231451563428784013e+01
5.028649008679206831e-285 -7.180281485145276292e+02 7.489964043328712933e+02 2.742422526831490615e+01 9.783234746159165107e-01
4.149202518438304721e-282 -7.113101284452925483e+02 4.835269406482335626e+02 1.339637920664343973e+01 1.360359461738315900e+01
9.109372440061734966e-282 -7.105212407748691703e+02 6.743506932351882597e+02 2.805367582172747287e+00 4.082778522586455097e+02
3.384347678744865950e-274 -6.930882026744728819e+02 6.101872546911151858e+02 1.706678081859976359e+01 3.039264828676030650e+00
1.084628935946376553e-269 -6.827107004539354875e+02 7.703328096794508610e+02 2.248800751625357819e+01 1.165575156791904821e+00
6.863839231781368239e-265 -6.716528310759706528e+02 4.269224235740680911e+02 1.995452047361201764e+01 1.136933671925862699e-01
2.270141255168639166e-262 -6.658490006804528321e+02 5.245436386938342821e+02 9.848520282218318656e+00 1.190367344973915564e+01
9.407782232011189634e-261 -6.621222204001818454e+02 5.776096758844073520e+02 3.255166257924482665e+01 5.506616401949926409e-01
7.200033079828829427e-252 -6.416639061865840858e+02 6.315131256125514483e+02 3.119930145963053647e+01 3.673214051397721280e-01
6.616398828893581310e-250 -6.371407703826426996e+02 7.111460854636834483e+02 1.251228801336761620e+01 3.887738052555568036e+00
3.972014472266100240e-249 -6.353459631382862653e+02 4.907959110531993474e+02 1.886879427672722187e+01 7.464270549313879455e-01
3.403555170832023216e-246 -6.285901607252488930e+02 5.942418989685529596e+02 8.418717567207684382e+00 7.701523641971983913e+00
